Maple;DLMF;Number of Variables;Maple-DLMF-Comment;Maple-Constraints;Maple-Branch Cuts;DLMF-Alternatives;Maple-Link
sin($0);\sin@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=sin
cos($0);\cos@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=cos
tan($0);\tan@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=tan
sec($0);\sec@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=sec
csc($0);\csc@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=csc
cot($0);\cot@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=cot
;;;;;;;
sinh($0);\sinh@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=sinh
cosh($0);\cosh@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=cosh
tanh($0);\tanh@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=tanh
sech($0);\sech@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=sech
csch($0);\csch@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=csch
coth($0);\coth@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=coth
;;;;;;;
arcsin($0);\asin@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=invtrig
arccos($0);\acos@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=invtrig
arctan($0);\atan@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=invtrig
arctan($0,$1);\phase@@{$1+($0)*\iunit};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=invtrig
arcsec($0);\asec@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=invtrig
