Mathematica;DLMF;Number of Variables;Mathematica-DLMF-Comment;Mathematica-Constriants;Mathematica-Branch Cuts;Mathematica-Alternatives;DLMF-Alternatives;Mathematica-Link
Sin[$0];\sin@@{z};1;;;;;;https://reference.wolfram.com/language/ref/Sin.html
Cos[$0];\cos@@{z};1;;;;;;https://reference.wolfram.com/language/ref/Cos.html
Tan[$0];\tan@@{z};1;;;;;;https://reference.wolfram.com/language/ref/Tan.html
Sec[$0];\sec@@{z};1;;;;;;https://reference.wolfram.com/language/ref/Sec.html
Csc[$0];\csc@@{z};1;;;;;;https://reference.wolfram.com/language/ref/Csc.html
Cot[$0];\cot@@{z};1;;;;;;https://reference.wolfram.com/language/ref/Cot.html
;;;;;;;;
Sinh[$0];\sinh@@{z};1;;;;;;https://reference.wolfram.com/language/ref/Sinh.html
Cosh[$0];\cosh@@{z};1;;;;;;https://reference.wolfram.com/language/ref/Cosh.html
Tanh[$0];\tanh@@{z};1;;;;;;https://reference.wolfram.com/language/ref/Tanh.html
Sech[$0];\sech@@{z};1;;;;;;https://reference.wolfram.com/language/ref/Sech.html
Csch[$0];\csch@@{z};1;;;;;;https://reference.wolfram.com/language/ref/Csch.html
Coth[$0];\coth@@{z};1;;;;;;https://reference.wolfram.com/language/ref/Coth.html
;;;;;;;;
ArcSin[$0];\asin@@{z};1;;;;;;https://reference.wolfram.com/language/ref/ArcSin.html
ArcCos[$0];\acos@@{z};1;;;;;;https://reference.wolfram.com/language/ref/ArcCos.html
ArcTan[$0];\atan@@{z};1;;;;;;https://reference.wolfram.com/language/ref/ArcTan.html
ArcSec[$0];\asec@@{z};1;;;;;;https://reference.wolfram.com/language/ref/ArcSec.html
ArcCsc[$0];\acsc@@{z};1;;;;;;https://reference.wolfram.com/language/ref/ArcCsc.html
ArcCot[$0];\acot@@{z};1;;;;;;https://reference.wolfram.com/language/ref/ArcCot.html
;;;;;;;;
ArcSinh[$0];\asinh@@{z};1;;;;;;https://reference.wolfram.com/language/ref/ArcSinh.html
ArcCosh[$0];\acosh@@{z};1;;;;;;https://reference.wolfram.com/language/ref/ArcCosh.html
ArcTanh[$0];\atanh@@{z};1;;;;;;https://reference.wolfram.com/language/ref/ArcTanh.html
ArcSech[$0];\asech@@{z};1;;;;;;https://reference.wolfram.com/language/ref/ArcSech.html
ArcCsch[$0];\acsch@@{z};1;;;;;;https://reference.wolfram.com/language/ref/ArcCsch.html
ArcCoth[$0];\acoth@@{z};1;;;;;;https://reference.wolfram.com/language/ref/ArcCoth.html
;;;;;;;;
Log[$0];\ln@@{z};1;;;;;;https://reference.wolfram.com/language/ref/Log.html
Log[$0];\log@@{z};;;;;;;
Log[$0,$1];\genlog{a}@@{z};2;;;;;;https://reference.wolfram.com/language/ref/Log.html
;;;;;;;;
;\Ln@@{z};;;;;;;
Exp[$0];\exp@@{z};1;;;;;;https://reference.wolfram.com/language/ref/Exp.html
;;;;;;;;
ProductLog[$0];\LambertW@{x};;;;;;;
ProductLog[$0];\LambertWp@{x};1;;;;;;http://reference.wolfram.com/language/ref/ProductLog.html
ProductLog[-1, $0];\LambertWm@{x};2;;;;;;http://reference.wolfram.com/language/ref/ProductLog.html
;;;;;;;;
SinIntegral[$0];\sinint@{z};1;;;;;;https://reference.wolfram.com/language/ref/SinIntegral.html
