DLMF;Mathematica;DLMF-Mathematica-Comment;Mathematica-Alternatives
\sin@@{z};Sin[$0];;
\cos@@{z};Cos[$0];;
\tan@@{z};Tan[$0];;
\sec@@{z};Sec[$0];;
\csc@@{z};Csc[$0];;
\cot@@{z};Cot[$0];;
;;;
\sinh@@{z};Sinh[$0];;
\cosh@@{z};Cosh[$0];;
\tanh@@{z};Tanh[$0];;
\sech@@{z};Sech[$0];;
\csch@@{z};Csch[$0];;
\coth@@{z};Coth[$0];;
;;;
\Asin@@{z};ArcSin[$0];The translation is only valid on the principle branch.;Integrate[Divide[1, (1-t^2)^(1/2)], {t, 0, $0}]
\Acos@@{z};ArcCos[$0];The translation is only valid on the principle branch.;Integrate[Divide[1, (1-t^2)^(1/2)], {t, $0, 1}]
\Atan@@{z};ArcTan[$0];The translation is only valid on the principle branch.;Integrate[Divide[1, 1+t^2], {t, 0, $0}]
\Asec@@{z};ArcSec[$0];The translation is only valid on the principle branch.;Integrate[Divide[1, (1-t^2)^(1/2)], {t, Divide[1,$0], 1}]
\Acsc@@{z};ArcCsc[$0];The translation is only valid on the principle branch.;Integrate[Divide[1, (1-t^2)^(1/2)], {t, 0, Divide[1,$0]}]
\Acot@@{z};ArcCot[$0];The translation is only valid on the principle branch.;Integrate[Divide[1, 1+t^2], {t, 0, Divide[1,$0]}]
;;;
\asin@@{z};ArcSin[$0];;
\acos@@{z};ArcCos[$0];;
\atan@@{z};ArcTan[$0];;
\asec@@{z};ArcSec[$0];;
\acsc@@{z};ArcCsc[$0];;
\acot@@{z};ArcCot[$0];;
;;;
\Asinh@@{z};ArcSinh[$0];The translation is only valid on the principle branch.;Integrate[Divide[1, (1+t^2)^(1/2)], {t, 0, $0}]
\Acosh@@{z};ArcCosh[$0];The translation is only valid on the principle branch.;Integrate[Divide[1, (t^2-1)^(1/2)], {t, 1, $0}]
\Atanh@@{z};ArcTanh[$0];The translation is only valid on the principle branch.;Integrate[Divide[1, 1-t^2], {t, 0, $0}]
\Asech@@{z};ArcSech[$0];The translation is only valid on the principle branch.;Integrate[Divide[1, (t^2-1)^(1/2)], {t, 1, Divide[1,$0]}]
\Acsch@@{z};ArcCsch[$0];The translation is only valid on the principle branch.;Integrate[Divide[1, (1+t^2)^(1/2)], {t, 0, Divide[1,$0]}]
\Acoth@@{z};ArcCoth[$0];The translation is only valid on the principle branch.;Integrate[Divide[1, 1-t^2], {t, 0, Divide[1,$0]}]
;;;
\asinh@@{z};ArcSinh[$0];;
\acosh@@{z};ArcCosh[$0];;
\atanh@@{z};ArcTanh[$0];;
\asech@@{z};ArcSech[$0];;
\acsch@@{z};ArcCsch[$0];;
\acoth@@{z};ArcCoth[$0];;
;;;
\ln@@{z};Log[$0];;
\Ln@@{z};Log[$0];;
\log@@{z};Log[$0];;
\genlog{a}@@{z};Log[$0,$1];;
;;;
\exp@@{z};Exp[$0];;
;;;
\LambertW@{x};ProductLog[$0];;
\LambertWp@{x};ProductLog[0, $0];;
\LambertWm@{x};ProductLog[-1, $0];;
;;;
\sinint@{z};SinIntegral[$0];;
\shiftsinint@{z};SinIntegral[$0] - Pi/2;;
\gensinint@{a}{z};;;
\genshiftsinint@{a}{z};;;
\cosint@{z};CosIntegral[$0];;
\cosintCin@{z};;;
\gencosint@{a}{z};;;
\genshiftcosint@{a}{z};;;
\auxsincosintf@{z};;;
\auxsincosintg@{z};;;
;;;
\sinhint@{z};SinhIntegral[$0];;
\coshint@{z};CoshIntegral[$0];;
;;;
\Gudermannian@@{x};Gudermannian[$0];Defined also for imaginary values.;
\aGudermannian@@{x};InverseGudermannian[$0];Defined also for imaginary values.;
;;;
\expintEi@{x};;;ExpIntegralEi[$0]
\expintE@{x};;;ExpIntegralE[1, $0]
\expintEin@{z};;The translation based on the definition in DLMF.;ExpIntegralE[1, $0] + Ln[$0] + EulerGamma
\genexpintE{p}@{z};ExpIntegralE[$0, $1];;
\logint@{x};LogIntegral[$0];Mathematica can compute the principle branch for x between 0 and 1 as well, while this is not defined in DLMF.;
\dilog@{z};PolyLog[2, $0];;
\polylog{s}@{z};PolyLog[$0, $1];;
\Jonquierephi@{z}{s};;;
;;;
\Matrix{A};;;
\Vector{a};;;
\trace \Matrix{X};;;
\transpose \Matrix{X};;;
\exptrace@{\Matrix{X}};;;
\det A;;;
\diag A;;;
\phase@@{z};Arg[$0];;
;;;
\conj{z};Conjugate[$0];;
\realpart@@{z};Re[$0];;
\Re{z};Re[$0];;
\imagpart@@{z};Im[$0];;
\sqrt{z};Sqrt[$0];;
\sqrt[p]{z};Surd[$1, $0];;
\sign@@{$0};Sign[$0];;
\binom{n}{k};Binomial[$0, $1];;
\multinomial{m}{n_1,...,n_k};Multinomial[$0];;
|z|;Abs[$0];;
\left|z\right|;Abs[$0];;
;FractionalPart[$0];;
;Round[$0];;
;Min[x1, x2, ...];;
;Max[x1, x2, ...];;
\pgcd{.};GCD[$0];;
;LCM[m,n,...];;
\f{f}@{x};;;
\in;;;
\notin;;;
\forall;;;
\Longrightarrow;;;
\Longleftrightarrow;;;
=;;;
\neq;;;
\ifrac{a}{b};Divide[$0, $1];;
\power{x}{y};Power[$0, $1];;
n!;$0!;;
n!!;$0!!;;
\shiftfactorial{a}{\kappa};;;
\floor{x};Floor[$0];;
\ceiling{x};Ceiling[$0];;
\sign@@{x};;;
\inf;;;
\sup;;;
\Sum{n}{k1}{k2}@{f(n)};Sum[$3, {$0, $1, $2}];;
\Prod{n}{k1}{k2}@{f(n)};Product[$3, {$0, $1, $2}];;
\Wronskian@{w1(z),w2(z)};Wronskian[{$1, $2}, $0];;
\Wron{z}@{w1(z),w2(z)};Wronskian[{$1, $2}, $0];;
\Residue;;;
\card{A};;;
\cartprod;;;
\divides;;;
\liminf;;;
;;;
\opminus;;;
\poly{p}{n}@{x};;;
\ncompositions[m]@{n};;;
\intinnerprod{f}{g};;;
\Lattice{L};;;
\fDiff[x];;;
\bDiff[x];;;
\cDiff[x];;;
\deriv{$0}{$1};D[$0, $1];;
\tderiv{$0}{$1};D[$0, $1];;
\ideriv{$0}{$1};D[$0, $1];;
\pderiv{$0}{$1};D[$0, $1];;
\tpderiv{$0}{$1};D[$0, $1];;
\ipderiv{$0}{$1};D[$0, $1];;
X1:\derivX\deriv[$0]{$1}{$2};D[$1, {$2, $0}];;
X1:\tderivX\tderiv[$0]{$1}{$2};D[$1, {$2, $0}];;
X1:\iderivX\ideriv[$0]{$1}{$2};D[$1, {$2, $0}];;
X1:\pderivX\pderiv[$0]{$1}{$2};D[$1, {$2, $0}];;
X1:\tpderivX\tpderiv[$0]{$1}{$2};D[$1, {$2, $0}];;
X1:\ipderivX\ipderiv[$0]{$1}{$2};D[$1, {$2, $0}];;
\AntiDer@{x}{f(x)};;;
\Int{a}{b}@{x}{f(x)};;;
\int;;;
\pvint_{a}^{b} \f{f}@{x} \diff{x};;;
\Schwarzian{z}{\zeta};;;
\Complexes;Complexes;;
\Reals;Reals;;
\Rationals;Rationals;;
\Integers;Integers;;
\natNumbers;PositiveIntegers;;
\continuous@{A};;;
\SpaceTestFunTempered@{A};;;
;;;
;;;
\setminus;;;
\subseteq;;;
\subset;;;
\setmod;;;
\npartitions{n};;;
\npartitions[k]@{n};;;
\npermutations{n};;;
\nplanepartitions@{n};;;
\nrestpartitions[k]@{\mathrm{condition}}{n};;;
\nrestcompositions@{\mathrm{condition}}{n};;;
\bigO@{x};;;
\littleo@{x};;;
\sim;;;
\abs{$0};Abs[$0];;
;;;
;;;
;;;
\AiryAi@{z};AiryAi[$0];;
\AiryBi@{z};AiryBi[$0];;
